2018-02-01, Day:-6, В 1м/с, 747,  Evening:-6, 750
2018-02-02, Day:-6, З 1м/с, 756,  Evening:-7, 756
2018-02-03, Day:-6, Ю 2м/с, 757,  Evening:-7, 757
2018-02-04, Day:-4, ЮВ 3м/с, 754,  Evening:-3, 752
2018-02-05, Day:-5, ЮВ 4м/с, 750,  Evening:-6, 753
2018-02-06, Day:-6, В 2м/с, 761,  Evening:-6, 763
2018-02-07, Day:-5, В 3м/с, 770,  Evening:-6, 770
