2018-12-01, Day:-9, З 1м/с, 770,  Evening:-13, 769
2018-12-02, Day:-10, ЮВ 2м/с, 763,  Evening:-11, 761
2018-12-03, Day:-3, Ю 1м/с, 758,  Evening:-4, 759
2018-12-04, Day:-3, ЮВ 1м/с, 761,  Evening:-3, 761
2018-12-05, Day:-5, ЮВ 1м/с, 761,  Evening:-8, 760
2018-12-06, Day:-7, В 3м/с, 755,  Evening:-7, 753
2018-12-07, Day:-6, В 2м/с, 749,  Evening:-6, 749
2018-12-08, Day:-2, В 1м/с, 752,  Evening:-2, 752
2018-12-09, Day:-3, Ю 2м/с, 752,  Evening:-4, 753
2018-12-10, Day:-3, Ю 3м/с, 755,  Evening:-3, 756
2018-12-11, Day:-5, В 2м/с, 755,  Evening:-7, 755
2018-12-12, Day:-7, В 4м/с, 752,  Evening:-5, 752
2018-12-13, Day:-2, В 1м/с, 752,  Evening:-3, 752
2018-12-14, Day:-3, В 4м/с, 751,  Evening:-3, 751
2018-12-15, Day:-1, СВ 3м/с, 755,  Evening:-3, 757
2018-12-16, Day:-8, С 2м/с, 761,  Evening:-8, 762
2018-12-17, Day:-6, Ш, 763,  Evening:-6, 764
2018-12-18, Day:-8, В 1м/с, 765,  Evening:-9, 766
2018-12-19, Day:-9, В 1м/с, 767,  Evening:-10, 768
2018-12-20, Day:-10, В 2м/с, 769,  Evening:-10, 768
2018-12-21, Day:-13, ЮВ 1м/с, 765,  Evening:-15, 764
2018-12-22, Day:-15, В 2м/с, 758,  Evening:-14, 756
2018-12-23, Day:-11, ЮВ 2м/с, 755,  Evening:-11, 754
2018-12-24, Day:-9, В 4м/с, 753,  Evening:-10, 755
2018-12-25, Day:-12, В 3м/с, 755,  Evening:-12, 755
2018-12-26, Day:-8, ЮВ 4м/с, 747,  Evening:-9, 745
2018-12-27, Day:-5, В 3м/с, 745,  Evening:-5, 745
2018-12-28, Day:-4, СЗ 1м/с, 742,  Evening:-6, 744
2018-12-29, Day:-10, З 1м/с, 751,  Evening:-11, 752
2018-12-30, Day:-13, З 1м/с, 757,  Evening:-16, 758
2018-11-01, Day:+3, З 3м/с, 772,  Evening:0, 771
2018-11-02, Day:+5, З 4м/с, 767,  Evening:+4, 767
2018-11-03, Day:+7, З 2м/с, 763,  Evening:+5, 761
2018-11-04, Day:+4, З 4м/с, 752,  Evening:+5, 750
2018-11-05, Day:+6, С 1м/с, 756,  Evening:+4, 758
2018-11-06, Day:+5, СЗ 1м/с, 759,  Evening:+3, 758
2018-11-07, Day:+4, З 2м/с, 757,  Evening:+2, 756
2018-11-08, Day:+2, З 1м/с, 753,  Evening:+2, 754
2018-11-09, Day:+1, СВ 1м/с, 758,  Evening:-1, 758
2018-11-10, Day:-3, СВ 4м/с, 761,  Evening:-7, 765
2018-11-11, Day:-5, В 2м/с, 774,  Evening:-7, 776
2018-11-12, Day:-6, Ю 1м/с, 776,  Evening:-8, 775
2018-11-13, Day:-5, СЗ 1м/с, 773,  Evening:-10, 771
2018-11-14, Day:-5, З 1м/с, 768,  Evening:-8, 767
2018-11-15, Day:-5, В 1м/с, 770,  Evening:-10, 770
2018-11-16, Day:-2, З 1м/с, 770,  Evening:-9, 770
2018-11-17, Day:0, З 4м/с, 761,  Evening:+1, 757
2018-11-18, Day:+3, З 1м/с, 755,  Evening:-1, 755
2018-11-19, Day:+1, З 1м/с, 757,  Evening:0, 757
2018-11-20, Day:+1, СЗ 1м/с, 753,  Evening:-1, 752
2018-11-21, Day:-2, З 3м/с, 744,  Evening:-1, 743
2018-11-22, Day:-3, ЮЗ 4м/с, 740,  Evening:-4, 735
2018-11-23, Day:-7, СЗ 4м/с, 743,  Evening:-7, 748
2018-11-24, Day:-5, З 6м/с, 747,  Evening:-4, 749
2018-11-25, Day:-4, З 3м/с, 747,  Evening:-4, 749
2018-11-26, Day:-5, Ю 1м/с, 745,  Evening:-4, 744
2018-11-27, Day:-4, Ш, 748,  Evening:-8, 749
2018-11-28, Day:-8, С 1м/с, 746,  Evening:-8, 749
2018-11-29, Day:-11, СЗ 2м/с, 761,  Evening:-13, 765
2018-10-01, Day:+13, З 3м/с, 755,  Evening:+9, 756
2018-10-02, Day:+15, ЮЗ 2м/с, 755,  Evening:+11, 753
2018-10-03, Day:+20, Ю 2м/с, 747,  Evening:+18, 745
2018-10-04, Day:+15, З 4м/с, 742,  Evening:+11, 744
2018-10-05, Day:+9, СЗ 2м/с, 744,  Evening:+6, 748
2018-10-06, Day:+8, З 3м/с, 752,  Evening:+7, 752
2018-10-07, Day:+17, З 5м/с, 752,  Evening:+13, 753
2018-10-08, Day:+18, ЮЗ 4м/с, 752,  Evening:+14, 754
2018-10-09, Day:+7, В 1м/с, 758,  Evening:+7, 758
2018-10-10, Day:+15, ЮЗ 2м/с, 755,  Evening:+13, 752
2018-10-11, Day:+11, СЗ 4м/с, 750,  Evening:+8, 752
2018-10-12, Day:+8, СЗ 3м/с, 756,  Evening:+8, 755
2018-10-13, Day:+9, СЗ 2м/с, 755,  Evening:+5, 754
2018-10-14, Day:+7, СЗ 1м/с, 755,  Evening:+4, 755
2018-10-15, Day:+9, ЮЗ 2м/с, 755,  Evening:+9, 755
2018-10-16, Day:+18, СЗ 3м/с, 753,  Evening:+13, 753
2018-10-17, Day:+15, СЗ 4м/с, 751,  Evening:+11, 755
2018-10-18, Day:+12, ЮЗ 1м/с, 756,  Evening:+9, 755
2018-10-19, Day:+17, З 3м/с, 751,  Evening:+13, 750
2018-10-20, Day:+13, З 2м/с, 749,  Evening:+8, 751
2018-10-21, Day:+8, С 1м/с, 755,  Evening:+7, 757
2018-10-22, Day:+9, З 1м/с, 757,  Evening:+6, 755
2018-10-23, Day:+10, ЮВ 2м/с, 747,  Evening:+9, 743
2018-10-24, Day:+11, ЮЗ 1м/с, 740,  Evening:+9, 740
2018-10-25, Day:+12, Ю 1м/с, 734,  Evening:+11, 731
2018-10-26, Day:+7, ЮЗ 2м/с, 737,  Evening:+5, 740
2018-10-27, Day:+4, З 2м/с, 749,  Evening:+3, 750
2018-10-28, Day:+7, З 3м/с, 745,  Evening:+8, 749
2018-10-29, Day:+3, С 1м/с, 759,  Evening:-1, 763
