2015-12-01, Day:-1, В 1м/с, 749,  Evening:-1, 746
2015-12-02, Day:+1, ЮВ 1м/с, 749,  Evening:0, 750
2015-12-03, Day:-1, СВ 2м/с, 754,  Evening:-2, 756
2015-12-04, Day:-3, З 2м/с, 755,  Evening:-2, 753
2015-12-05, Day:-1, ЮЗ 2м/с, 748,  Evening:-1, 745
2015-12-06, Day:+2, З 3м/с, 745,  Evening:+1, 743
2015-12-07, Day:+2, З 4м/с, 731,  Evening:+3, 731
2015-12-08, Day:+1, СЗ 3м/с, 737,  Evening:+1, 741
2015-12-09, Day:0, СЗ 3м/с, 754,  Evening:-1, 755
2015-12-10, Day:+2, З 5м/с, 753,  Evening:+1, 752
2015-12-11, Day:-1, З 2м/с, 756,  Evening:-2, 755
2015-12-12, Day:-2, ЮЗ 2м/с, 753,  Evening:0, 752
2015-12-13, Day:+1, Ю 2м/с, 744,  Evening:-1, 746
2015-12-14, Day:0, З 2м/с, 752,  Evening:-4, 753
2015-12-15, Day:-2, ЮВ 2м/с, 751,  Evening:-3, 749
2015-12-16, Day:-4, СЗ 1м/с, 744,  Evening:-5, 743
2015-12-17, Day:-9, СЗ 3м/с, 743,  Evening:-10, 746
2015-12-18, Day:-10, З 2м/с, 752,  Evening:-12, 752
2015-12-19, Day:-16, В 1м/с, 754,  Evening:-13, 750
2015-12-20, Day:-6, В 2м/с, 743,  Evening:-5, 745
2015-12-21, Day:-1, Ю 1м/с, 746,  Evening:-1, 743
2015-12-22, Day:+2, Ш, 736,  Evening:, 
2015-12-23, Day:+2, З 2м/с, 741,  Evening:+2, 742
2015-12-24, Day:+1, В 1м/с, 730,  Evening:0, 733
2015-12-25, Day:-1, СЗ 5м/с, 743,  Evening:-3, 746
2015-12-26, Day:-5, ЮЗ 2м/с, 743,  Evening:-2, 740
2015-12-27, Day:+1, З 2м/с, 736,  Evening:-3, 735
2015-12-28, Day:-4, З 3м/с, 745,  Evening:-3, 748
2015-12-29, Day:-6, СЗ 3м/с, 752,  Evening:-8, 754
2015-12-30, Day:-11, С 1м/с, 757,  Evening:-15, 758
2015-11-01, Day:0, З 3м/с, 755,  Evening:+1, 754
2015-11-02, Day:+3, З 3м/с, 744,  Evening:+3, 744
2015-11-03, Day:+4, З 3м/с, 738,  Evening:+5, 737
2015-11-04, Day:+5, СЗ 2м/с, 743,  Evening:+4, 745
2015-11-05, Day:+5, З 2м/с, 740,  Evening:+4, 739
2015-11-06, Day:+3, СЗ 5м/с, 747,  Evening:+3, 751
2015-11-07, Day:+3, З 2м/с, 756,  Evening:-1, 756
2015-11-08, Day:+2, З 2м/с, 753,  Evening:+2, 752
2015-11-09, Day:+3, Ю 1м/с, 751,  Evening:+2, 750
2015-11-10, Day:+2, Ю 3м/с, 746,  Evening:+1, 743
2015-11-11, Day:0, В 3м/с, 736,  Evening:+1, 735
2015-11-12, Day:0, В 2м/с, 738,  Evening:0, 740
2015-11-13, Day:-1, В 2м/с, 743,  Evening:-3, 745
2015-11-14, Day:-4, С 1м/с, 749,  Evening:-5, 750
2015-11-15, Day:-3, В 2м/с, 748,  Evening:-4, 748
2015-11-16, Day:-3, В 3м/с, 748,  Evening:-5, 749
2015-11-17, Day:-6, В 3м/с, 752,  Evening:-7, 754
2015-11-18, Day:-4, В 1м/с, 754,  Evening:-5, 755
2015-11-19, Day:-6, Ю 1м/с, 755,  Evening:-6, 755
2015-11-20, Day:-9, В 4м/с, 752,  Evening:-9, 750
2015-11-21, Day:+3, ЮЗ 3м/с, 741,  Evening:+3, 744
2015-11-22, Day:+7, ЮЗ 2м/с, 746,  Evening:+8, 746
2015-11-23, Day:+10, ЮЗ 2м/с, 748,  Evening:+10, 749
2015-11-24, Day:+3, СЗ 2м/с, 755,  Evening:+2, 756
2015-11-25, Day:+1, В 2м/с, 752,  Evening:0, 752
2015-11-26, Day:0, В 4м/с, 744,  Evening:+2, 740
2015-11-27, Day:-4, З 4м/с, 746,  Evening:-5, 749
2015-11-28, Day:-2, З 3м/с, 751,  Evening:-3, 752
2015-11-29, Day:+2, Ш, 754,  Evening:-2, 755
2015-10-01, Day:+13, СЗ 1м/с, 752,  Evening:+7, 751
2015-10-02, Day:+9, З 3м/с, 743,  Evening:+9, 744
2015-10-03, Day:+11, З 3м/с, 736,  Evening:+12, 740
2015-10-04, Day:+11, СЗ 2м/с, 755,  Evening:+4, 756
2015-10-05, Day:+17, ЮЗ 3м/с, 752,  Evening:+12, 749
2015-10-06, Day:+19, ЮЗ 3м/с, 742,  Evening:+9, 742
2015-10-07, Day:+3, С 2м/с, 743,  Evening:+1, 742
2015-10-08, Day:0, З 4м/с, 740,  Evening:-1, 743
2015-10-09, Day:+1, ЮЗ 4м/с, 745,  Evening:0, 745
2015-10-10, Day:0, З 3м/с, 744,  Evening:0, 745
2015-10-11, Day:+1, З 2м/с, 748,  Evening:-1, 749
2015-10-12, Day:+2, З 4м/с, 754,  Evening:+2, 755
2015-10-13, Day:+3, З 3м/с, 758,  Evening:+3, 758
2015-10-14, Day:+9, З 3м/с, 759,  Evening:+6, 760
2015-10-15, Day:+6, З 4м/с, 758,  Evening:+5, 757
2015-10-16, Day:+7, СВ 1м/с, 758,  Evening:+5, 759
2015-10-17, Day:+10, З 3м/с, 755,  Evening:+7, 753
2015-10-18, Day:+11, З 3м/с, 749,  Evening:+9, 748
2015-10-19, Day:+5, З 2м/с, 746,  Evening:+5, 745
2015-10-20, Day:+1, С 2м/с, 750,  Evening:+1, 754
2015-10-21, Day:+1, С 2м/с, 758,  Evening:-2, 760
2015-10-22, Day:+3, Ю 1м/с, 761,  Evening:-2, 761
2015-10-23, Day:+3, ЮВ 2м/с, 758,  Evening:+3, 755
2015-10-24, Day:0, В 1м/с, 752,  Evening:0, 752
2015-10-25, Day:+1, В 2м/с, 749,  Evening:+2, 749
2015-10-26, Day:+3, ЮЗ 3м/с, 746,  Evening:+3, 749
2015-10-27, Day:+7, ЮЗ 2м/с, 746,  Evening:+5, 745
2015-10-28, Day:+5, Ю 1м/с, 745,  Evening:+4, 743
2015-10-29, Day:+3, СЗ 3м/с, 746,  Evening:+1, 752
