2011-12-01, Day:-5, В 1м/с, 749,  Evening:-6, 752
2011-12-02, Day:-6, СВ 2м/с, 754,  Evening:-5, 756
2011-12-03, Day:-4, ЮЗ 2м/с, 757,  Evening:-8, 756
2011-12-04, Day:-6, ЮЗ 3м/с, 754,  Evening:-6, 753
2011-12-05, Day:-1, ЮЗ 4м/с, 750,  Evening:0, 752
2011-12-06, Day:0, ЮЗ 4м/с, 753,  Evening:-1, 753
2011-12-07, Day:-7, ЮВ 3м/с, 755,  Evening:-7, 755
2011-12-08, Day:-10, ЮВ 2м/с, 757,  Evening:-10, 758
2011-12-09, Day:-7, В 2м/с, 758,  Evening:-9, 758
2011-12-10, Day:-12, ЮВ 2м/с, 758,  Evening:-14, 757
2011-12-11, Day:-14, В 1м/с, 755,  Evening:-15, 753
2011-12-12, Day:-9, В 2м/с, 747,  Evening:-9, 749
2011-12-13, Day:-5, С 2м/с, 757,  Evening:-6, 759
2011-12-14, Day:-11, В 1м/с, 763,  Evening:-11, 762
2011-12-15, Day:-8, ЮЗ 2м/с, 762,  Evening:-9, 763
2011-12-16, Day:-9, ЮВ 1м/с, 763,  Evening:-11, 762
2011-12-17, Day:-13, ЮВ 3м/с, 763,  Evening:-13, 764
2011-12-18, Day:-12, ЮВ 3м/с, 767,  Evening:-14, 767
2011-12-19, Day:-11, Ю 4м/с, 768,  Evening:-11, 769
2011-12-20, Day:-8, ЮВ 3м/с, 766,  Evening:-8, 764
2011-12-21, Day:-7, ЮВ 4м/с, 759,  Evening:-8, 759
2011-12-22, Day:-10, Ю 2м/с, 755,  Evening:-10, 754
2011-12-23, Day:-9, ЮВ 2м/с, 752,  Evening:-8, 751
2011-12-24, Day:-5, З 1м/с, 750,  Evening:-5, 751
2011-12-25, Day:-8, Ш, 752,  Evening:-9, 752
2011-12-26, Day:-8, З 4м/с, 748,  Evening:-6, 743
2011-12-27, Day:0, З 2м/с, 736,  Evening:+1, 737
2011-12-28, Day:+1, СЗ 4м/с, 729,  Evening:-2, 731
2011-12-29, Day:-3, СЗ 4м/с, 748,  Evening:-4, 750
2011-12-30, Day:-3, ЮЗ 2м/с, 753,  Evening:-5, 755
2011-11-01, Day:+7, ЮЗ 2м/с, 744,  Evening:+5, 744
2011-11-02, Day:+6, С 1м/с, 751,  Evening:+6, 752
2011-11-03, Day:+5, ЮЗ 5м/с, 748,  Evening:+4, 746
2011-11-04, Day:+1, С 2м/с, 746,  Evening:-2, 749
2011-11-05, Day:-7, С 3м/с, 755,  Evening:-9, 757
2011-11-06, Day:-9, СВ 3м/с, 758,  Evening:-11, 759
2011-11-07, Day:-5, СЗ 3м/с, 758,  Evening:-7, 758
2011-11-08, Day:-3, Ю 4м/с, 747,  Evening:-4, 741
2011-11-09, Day:-4, В 3м/с, 738,  Evening:-3, 740
2011-11-10, Day:0, ЮВ 2м/с, 750,  Evening:0, 753
2011-11-11, Day:-1, СВ 2м/с, 755,  Evening:-2, 755
2011-11-12, Day:-2, С 1м/с, 757,  Evening:-3, 759
2011-11-13, Day:-3, СЗ 2м/с, 760,  Evening:-5, 756
2011-11-14, Day:-2, З 2м/с, 751,  Evening:-3, 749
2011-11-15, Day:-2, З 3м/с, 740,  Evening:-3, 740
2011-11-16, Day:-6, ЮЗ 3м/с, 744,  Evening:-5, 744
2011-11-17, Day:-6, ЮЗ 3м/с, 745,  Evening:-6, 741
2011-11-18, Day:-5, С 4м/с, 746,  Evening:-5, 749
